Name,Type,Mileage,Year,Condition,Price
Audi A3,45 TFSI e S Line Competition 5dr S Tronic,2.961,2023,Hybrid,38.49
Audi S3,S3 TFSI Quattro 5dr S Tronic,5.898,2023,Petrol,37.99
Audi A3,35 TDI S Line 5dr S Tronic,5.31,2023,Diesel,28.99
Audi Q3,45 TFSI e S Line 5dr S Tronic,3.95,2023,Hybrid,41.99
Audi Q3,40 TFSI Quattro Edition 1 5dr S Tronic,21.236,2020,Petrol,33.49
Audi A1,30 TFSI Sport 5dr,29.402,2019,Petrol,nan
Audi Q3,35 TFSI S Line 5dr S Tronic,33.512,2020,Petrol,27.99
Audi e-tron,230kW 50 Quattro 71kWh Technik 5dr Auto,21.506,2020,Electric,24.15
Audi Q3,40 TDI 200 Quattro S Line 5dr S Tronic,3.745,2023,Diesel,41.49
Audi Q3,40 TDI 200 Quattro Black Edition 5dr S Tronic,3.473,2023,Diesel,41.49
Audi A3 Saloon,35 TFSI S Line 4dr,10.317,2020,Petrol,22.224
Audi A1,30 TFSI Technik 5dr,11.723,2020,Petrol,17.149
Audi A1,25 TFSI S Line 5dr,22.138,2021,Petrol,18.208
Audi A3 Saloon,30 TFSI S Line 4dr,36.893,2020,Petrol,18.317
Audi A5 Sportback,35 TFSI S Line 5dr S Tronic,11.736,2023,Petrol,30.99
Audi A4 Avant,35 TFSI Sport 5dr S Tronic,31.124,2020,Petrol,21.799
Audi A5,35 TFSI S Line 2dr S Tronic,1.95,2023,Petrol,33.79
Audi Q5,55 TFSI e Quattro S Line Competition 5dr S Tronic,90.24,2020,Hybrid,25.45
Audi Q5 Sportback,50 TFSI e Quattro S Line 5dr S Tronic,16.981,2021,Hybrid,40.45
Audi Q5,55 TFSI e Quattro S Line Competition 5dr S Tronic,90.24,2020,Hybrid,25.45
Audi Q5,40 TDI Quattro S Line 5dr S Tronic,23.468,2021,Diesel,34.65
Audi Q2,30 TFSI Technik 5dr,12.874,2020,Petrol,17.3
Audi Q5,40 TDI Quattro Sport 5dr S Tronic,21.467,2021,Diesel,34.9
Audi Q3,35 TDI Sport 5dr S Tronic,33.013,2020,Diesel,24.85
Audi Q5,45 TFSI Quattro Sport 5dr S Tronic,16.643,2020,Petrol,26.7
Audi A3,35 TFSI S Line 5dr S Tronic,18.95,2021,Petrol,25.2
Audi A6,50 TFSI e 17.9kWh Quattro Black Edition 4dr S Tron,42.81,2021,Hybrid,31.65
Audi A3 Saloon,35 TFSI S Line 4dr S Tronic,51.805,2021,Petrol,22.8
Audi e-tron,230kW 50 Quattro 71kWh Technik 5dr Auto,17.79,2020,Electric,23.95
Audi A6,40 TDI S Line 4dr S Tronic,9.934,2021,Diesel,30.0
Audi A5 Sportback,35 TDI Sport 5dr S Tronic,25.219,2021,Diesel,25.5
Audi A4,35 TFSI S Line 4dr S Tronic,21.251,2022,Petrol,25.9
Audi e-tron,300kW 55 Quattro 95kWh Launch Edition 5dr Auto,23.394,2020,Electric,38.85
Audi A5,35 TDI S Line 2dr S Tronic,23.219,2021,Diesel,24.0
Audi A5 Sportback,35 TDI S Line 5dr S Tronic,23.51,2021,Diesel,27.0
Audi Q7,55 TFSI Quattro Sport 5dr Tiptronic,15.51,2021,Petrol,43.3
Audi A5 Sportback,35 TDI S Line 5dr S Tronic,35.167,2021,Diesel,25.9
Audi Q4,125kW 35 55.52kWh S Line 5dr Auto,6.568,2022,Electric,31.85
Audi A3,30 TDI 116 Black Edition 5dr,11.986,2020,Diesel,24.0
Audi A5,35 TDI S Line 2dr S Tronic,30.569,2021,Diesel,23.1
Audi e-tron,230kW 50 Quattro 71kWh Sport 5dr Auto,54.26,2021,Electric,22.55
Audi A3,35 TDI SE Technik 5dr,80.541,2020,Diesel,15.95
Audi RS4,RS 4 TFSI Quattro 5dr Tiptronic,40.578,2022,Petrol,46.45
Audi A5 Sportback,35 TDI S Line 5dr S Tronic,10.056,2023,Diesel,31.8
Audi A5 Sportback,35 TDI S Line 5dr S Tronic,21.179,2021,Diesel,27.35
Audi Q7,50 TDI Quattro S Line 5dr Tiptronic,37.141,2021,Diesel,41.5
Audi TT,45 TFSI Quattro Black Edition 2dr S Tronic,28.284,2020,Petrol,25.8
Audi A3,30 TDI 116 S Line 5dr,67.884,2020,Diesel,16.45
Audi e-tron S,230kW 50 Quattro 71kWh S Line 5dr Auto,25.303,2020,Electric,27.4
Audi e-tron Sportback,370kW S Quattro 95kWh 5dr Auto,34.094,2020,Electric,37.85
Audi Q5,45 TFSI Quattro S Line 5dr S Tronic,4.041,2023,Petrol,42.55
Audi Q7,55 TFSI e Quattro Sport 5dr Tiptronic,16.332,2021,Hybrid,44.15
Audi A4,35 TDI Black Edition 4dr S Tronic,33.196,2021,Diesel,25.2
Audi Q2,30 TFSI Sport 5dr,10.321,2021,Petrol,19.9
Audi A3,30 TDI 116 S Line 5dr,67.884,2020,Diesel,16.45
Audi e-tron,300kW 55 Quattro 95kWh Launch Edition 5dr Auto,19.313,2020,Electric,34.5
Audi A6,40 TDI S Line 4dr S Tronic,30.489,2021,Diesel,26.5
Audi Q5,40 TDI Quattro S Line 5dr S Tronic,27.709,2021,Diesel,34.85
Audi A5 Sportback,35 TDI S Line 5dr S Tronic,36.606,2020,Diesel,25.35
Audi A5,35 TFSI Sport 2dr S Tronic,8.9,2022,Petrol,26.55
Audi A5 Sportback,35 TFSI S Line 5dr S Tronic,23.598,2019,Petrol,22.15
Audi Q2,30 TDI S Line 5dr,35.788,2020,Diesel,17.55
Audi Q3,35 TDI Sport 5dr S Tronic,25.881,2021,Diesel,26.5
Audi A5 Cabriolet,40 TFSI 204 S Line 2dr S Tronic,31.163,2020,Petrol,26.9
Audi A7,40 TDI S Line 5dr S Tronic,12.036,2021,Diesel,33.85
Audi A5 Sportback,40 TDI Quattro Black Edition 5dr S Tronic,29.904,2020,Diesel,27.85
Audi TT,40 TFSI Sport 2dr S Tronic,21.121,2020,Petrol,21.7
Audi Q2,35 TFSI S Line 5dr S Tronic,4.622,2022,Petrol,29.35
Audi A5 Sportback,35 TDI S Line 5dr S Tronic,25.4,2021,Diesel,28.6
Audi A5 Sportback,35 TDI S Line 5dr S Tronic,29.047,2021,Diesel,26.65
Audi A8,L 60 TFSI e Quattro Vorsprung 4dr Tiptronic,5.557,2022,Hybrid,79.95
Audi Q5,40 TDI Quattro Sport 5dr S Tronic,21.013,2021,Diesel,31.8
Audi TT,45 TFSI Sport 2dr S Tronic,18.47,2021,Petrol,25.45
Audi A6,40 TFSI S Line 4dr S Tronic,24.219,2022,Petrol,27.3
Audi A6,40 TDI S Line 4dr S Tronic,32.938,2021,Diesel,27.65
Audi A3,35 TFSI S Line 5dr S Tronic,15.029,2021,Petrol,23.8
